state,name,land_area_sqmi,land_area_sqft,water_area_sqmi
AK,St. George city,34.353,957706675,147.952
AK,St. Mary's city,44.465,1239613056,7.102
AK,St. Michael city,21.727,605713997,6.338
AK,St. Paul city,41.650,1161135360,253.815
AK,Stebbins city,32.595,908696448,1.534
AK,Steele Creek CDP,92.892,2589680333,0.014
AK,Sterling CDP,77.664,2165148058,1.832
AK,Stevens Village CDP,11.786,328574822,0.966
AK,Stony River CDP,3.169,88346650,1.411
AK,Sunrise CDP,13.013,362781619,0.010
AK,Susitna CDP,216.020,6022291968,2.741
AK,Susitna North CDP,276.004,7694549914,1.179
AK,Sutton-Alpine CDP,57.601,1605823718,0.536
AK,Takotna CDP,23.370,651518208,0.026
AK,Talkeetna CDP,94.226,2626870118,2.123
AK,Tanacross CDP,79.100,2205181440,1.636
AK,Tanaina CDP,30.333,845635507,0.502
AK,Tanana city,10.670,297462528,4.328
AK,Tatitlek CDP,7.252,202174157,2.811
AK,Tazlina CDP,8.438,235237939,0.683
AK,Teller city,1.494,41650330,0.186
AK,Tenakee Springs city,13.149,366573082,4.757
AK,Tetlin CDP,67.817,1890629453,1.312
AK,Thorne Bay city,26.673,743600563,3.044
AK,Togiak city,41.888,1167770419,182.759
AK,Tok CDP,132.934,3705987226,0.000
AK,Toksook Bay city,28.776,802228838,42.355
AK,Tolsona CDP,45.570,1270418688,1.156
AK,Tonsina CDP,158.960,4431550464,0.265
AK,Trapper Creek CDP,320.053,8922565555,7.756
AK,Tuluksak CDP,2.932,81739469,0.089
AK,Tuntutuliak CDP,115.954,3232611994,0.330
AK,Tununak CDP,60.788,1694672179,0.159
AK,Twin Hills CDP,22.751,634261478,0.290
AK,Two Rivers CDP,27.674,771506842,0.000
AK,Tyonek CDP,68.004,1895842714,1.136
AK,Ugashik CDP,254.955,7107737472,12.553
AK,Unalakleet city,2.846,79341926,2.099
AK,Unalaska city,102.150,2847778560,108.740
AK,Upper Kalskag city,3.606,100529510,0.394
AK,Utqiaġvik city,18.775,523416960,2.703
AK,Valdez city,211.654,5900574874,60.254
